skill_id,skill_name,skill_type,reuse_level,esco_skill_id,description
load-film-reels,load film reels,skill/competence,occupation-specific,key_1979,Load the film reels into the projector and unload them after the projection.
deliver-online-training,deliver online training,skill/competence,cross-sector,key_1984,"Provide training by using online technologies, adapting the learning materials, using e-learning methods, supporting the trainees and communicating online. Instruct virtual classrooms."
monitor-developments-in-technology-used-for-design,monitor developments in technology used for design,skill/competence,sector-specific,key_1988,"Identify and explore recent developments in technology and materials used in the live performance industry, in order to create an up-to-date technical background for one’s personal design work."
communicate-with-customers,communicate with customers,skill/competence,cross-sector,key_1992,"Respond to and communicate with customers in the most efficient and appropriate manner to enable them to access the desired products or services, or any other help they may require."
ict-network-routing,ICT network routing,knowledge,sector-specific,key_1993,The processes and techniques for choosing the best paths within an ICT network through which a packet can travel.
internal-risk-management-policy,internal risk management policy,knowledge,sector-specific,key_1994,"The internal risk management policies that identify, assess and prioritise risks in an IT environment. The methods used to minimise, monitor and control the possibility and the impact of disastrous events that affect the reaching of business goals."
assess-ict-knowledge,assess ICT knowledge,skill/competence,sector-specific,key_1997,Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.
translate-requirement-concepts-into-content,translate requirement concepts into content,skill/competence,sector-specific,key_1999,Develop digital content by following given requirements and guidelines.
lisp,Lisp,knowledge,sector-specific,key_2006,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Lisp."
develop-electronic-test-procedures,develop electronic test procedures,skill/competence,cross-sector,key_2007,"Develop testing protocols to enable a variety of analyses of electronic systems, products, and components."
identify-customer-requirements,identify customer requirements,skill/competence,cross-sector,key_2012,"Apply techniques and tools, such as surveys, questionnaires, ICT applications, for eliciting, defining, analysing, documenting and maintaining user requirements from system, service or product."
manage-schedule-of-tasks,manage schedule of tasks,skill/competence,cross-sector,key_2017,"Maintain an overview of all the incoming tasks in order to prioritise the tasks, plan their execution, and integrate new tasks as they present themselves."
digital-game-genres,digital game genres,knowledge,sector-specific,key_2024,"The classification of video games based on their interaction with the game media, such as simulation games, strategy games, adventure games and arcade games."
assistive-technology-in-education,assistive technology in education,knowledge,occupation-specific,key_2030,"Digital devices and equipment that support learners with learning, communication or mobility challenges to access educational resources and achieve their full potential. It includes software such as text to speech and optical character recognition."
model-power-electronics,model power electronics,skill/competence,occupation-specific,key_2031,"Model and simulate power electronics systems, products, and components using technical design software. Assess the viability of the product and examine the physical parameters to ensure a successful production process."
green-computing,green computing,knowledge,occupation-specific,key_2034,"The use of ICT systems in an environmentally responsible and sustainable manner, such as the implementation of energy-efficient servers and central processing units (CPUs), reduction of resources and correct disposal of e-waste."
electronic-test-procedures,electronic test procedures,knowledge,cross-sector,key_2041,"Testing protocols that enable a variety of analyses of electronic systems, products, and components. These tests include the testing of electrical properties, such as voltage, current, resistance, capacitance, and inductance as well as the testing of specific electronic components, such as the electron tubes, semiconductors, integrated circuits, and batteries. These tests include visual inspection"
transfer-uncut-audiovisual-material-to-computer,transfer uncut audiovisual material to computer,skill/competence,sector-specific,key_2048,"Transfer uncut audiovisual materials to a computer, synchronise them and store them."
write-research-proposals,write research proposals,skill/competence,cross-sector,key_2054,"Synthetise and write proposals aiming to solve research problems. Draft the proposal baseline and objectives, the estimated budget, risks and impact. Document the advances and new developments on the relevant subject and field of study."
apply-conflict-management,apply conflict management,skill/competence,cross-sector,key_2055,"Take ownership of the handling of all complaints and disputes showing empathy and understanding to achieve resolution. Be fully aware of all Social Responsibility protocols and procedures, and be able to deal with a problematic gambling situation in a professional manner with maturity and empathy."
business-requirements-techniques,business requirements techniques,knowledge,sector-specific,key_2056,The procedures required to identify and analyse business and organisational needs.
informatica-powercenter,Informatica PowerCenter,knowledge,sector-specific,key_2064,"The computer program Informatica PowerCenter is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Informatica."
prototyping-in-the-wearing-apparel-industry,prototyping in the wearing apparel industry,knowledge,occupation-specific,key_2067,"The main principles of prototyping for the manufacturing of wearing apparel and made-up textiles: sizes, body measurements, specification, and behaviour of fabrics after cutting."
identify-learning-disorders,identify learning disorders,skill/competence,cross-sector,key_2072,"Observe and detect symptoms of Specific Learning Difficulties such as attention deficit hyperactivity disorder (ADHD), dyscalculia, and dysgraphia in children or adult learners. Refer the student to the correct specialised educational expert if necessary."
human-robot-collaboration,human-robot collaboration,knowledge,sector-specific,key_2084,"Human-Robot Collaboration is the study of collaborative processes in which human and robot agents work together to achieve shared goals. Human-Robot Collaboration (HRC) is an interdisciplinary research area comprising classical robotics, human-computer interaction, artificial intelligence, design, cognitive sciences and psychology. It is related to the definition of the plans and the rules for com"
use-clinical-assessment-techniques,use clinical assessment techniques,skill/competence,sector-specific,key_2085,"Use clinical reasoning techniques and clinical judgement when applying a range of appropriate assessment techniques, such as mental status assessment, diagnosis, dynamic formulation, and potential treatment planning."
systems-thinking,systems thinking,knowledge,occupation-specific,key_2100,"The integrated approach to understanding how various constituents of a system interrelate, interact and influence one another within a whole logistic system."
apache-tomcat,Apache Tomcat,knowledge,sector-specific,key_2106,"The open-source web server Apache Tomcat provides a Java web server environment which uses a built in container where HTTP requests are loaded, allowing the Java web applications to run on local and server based systems."
edit-negatives,edit negatives,skill/competence,sector-specific,key_2107,Use different software products and techniques to process photographic negatives and adapt the images to the desired specifications.
software-ui-design-patterns,software UI design patterns,knowledge,sector-specific,key_2125,The reusable solutions and formalised best practices to solve common user interface tasks in software development and design.
reprography,reprography,knowledge,cross-sector,key_2155,"The process of reproducing, reprinting, or copying graphic material especially by mechanical or electronic means such as photography or xerography."
operate-a-camera,operate a camera,skill/competence,sector-specific,key_2157,Capture moving images with a camera. Operate the camera skilfully and safely to obtain high quality material.
sass,Sass,knowledge,sector-specific,key_2170,"The computer language Sass is a style sheet language that conveys the presentation of structured documents. These documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout."
design-cloud-architecture,design cloud architecture,skill/competence,sector-specific,key_2182,"Design a multi-tier cloud architecture solution, which tolerates faults and is fit for the workload and other business needs. Identify elastic and scalable computing solutions, select high-performing and scalable storage solutions, and choose high-performing database solutions. Identify cost-effective storage, computing, and database services in the cloud."
establish-an-ict-security-prevention-plan,establish an ICT security prevention plan,skill/competence,occupation-specific,key_2186,"Define a set of measures and responsibilities to ensure the confidentiality, integrity and availability of information. Implement policies to prevent data breaches, detect and respond to unathorised access to systems and resources, including up-to-date security applications and employee education."
hardware-platforms,hardware platforms,knowledge,sector-specific,key_2192,The characteristics of the hardware configuration required to process the applications software product.
identify-suppliers,identify suppliers,skill/competence,cross-sector,key_2193,"Determine potential suppliers for further negotiation. Take into consideration aspects such as product quality, sustainability, local sourcing, seasonality and coverage of the area. Evaluate the likelihood of obtaining beneficial contracts and agreements with them."
design-power-electronics,design power electronics,skill/competence,occupation-specific,key_2196,"Design and develop power electronics systems, products, and components according to specifications. Select suitable ancillary devices for the intended application."
quality-assurance-procedures,quality assurance procedures,knowledge,cross-sector,key_2197,The procedures to inspect a product or system to ensure that it is according to specifications and requirements.
computer-forensics,computer forensics,knowledge,sector-specific,key_2202,The process of examining and recovering digital data from sources for legal evidence and crime investigation.
handle-helpdesk-problems,handle helpdesk problems,skill/competence,cross-sector,key_2205,"Investigate what causes problems, test and improve solutions in order to reduce number of calls to the helpdesk."
information-security-strategy,information security strategy,knowledge,sector-specific,key_2222,"The plan defined by a company which sets the information security objectives and measures to mitigate risks, define control objectives, establish metrics and benchmarks while complying with legal, internal and contractual requirements."
guarantee-students-safety,guarantee students' safety,skill/competence,cross-sector,key_2224,Ensure all students falling under an instructor or other person’s supervision are safe and accounted for. Follow safety precautions in the learning situation.
work-with-motion-picture-editing-team,work with motion picture editing team,skill/competence,sector-specific,key_2229,Work together with the motion picture editing team during post-production. Make sure the finished product is according to specifications and creative vision.
design-interaction-model,design interaction model,skill/competence,sector-specific,key_2231,"Design and develop an interaction model. Design a multi-turn conversation, use built-in intents and slots, handle unexpected conversational requests or responses, design multi-modal skills using one or more service interfaces (for example, audio, video, and gadgets)."
assign-homework,assign homework,skill/competence,sector-specific,key_2247,"Provide additional exercises and assignments that the students will prepare at home, explain them in a clear way, and determine the deadline and evaluation method."
production-processes,production processes,knowledge,cross-sector,key_2255,Materials and techniques required in the production and distribution processes.
optical-character-recognition-software,optical character recognition software,knowledge,cross-sector,key_2256,"The software that electronically converts printed and typed images into machine-encoded text so that documents can be electronically stored, edited and digitally displayed."
manage-technical-resources-stock,manage technical resources stock,skill/competence,sector-specific,key_2269,Manage and monitor technical resources stock to ensure that production demands and deadlines can be met at all times.
learning-needs-analysis,learning needs analysis,knowledge,cross-sector,key_2282,"The process of analysing a student's learning needs through observation and testing, potentially followed by the diagnosis of a learning disorder and a plan for additional support."
apply-soldering-techniques,apply soldering techniques,skill/competence,cross-sector,key_2284,"Apply and work with a variety of techniques in the process of soldering, such as soft soldering, silver soldering, induction soldering, resistance soldering, pipe soldering, mechanical and aluminium soldering."
particle-animation,particle animation,knowledge,occupation-specific,key_2285,"The field of particle animation, an animation technique in which large numbers of graphic objects are used to simulate phenomena, such as flames and explosions and 'fuzzy phenomena' that are difficult to reproduce using conventional rendering methods."
customer-segmentation,customer segmentation,knowledge,cross-sector,key_2287,The process whereby a target market is divided into specific sets of consumers for further market analysis.
contribute-to-continuity-of-health-care,contribute to continuity of health care,skill/competence,sector-specific,key_2288,Contribute to the delivery of coordinated and continuous healthcare.
operate-a-lighting-console,operate a lighting console,skill/competence,sector-specific,key_2297,"Operate a light board during rehearsal or live situations, based on visual cues or documentation."
visual-studio-net,Visual Studio .NET,knowledge,sector-specific,key_2302,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Visual Basic."
implement-marketing-strategies,implement marketing strategies,skill/competence,cross-sector,key_2309,"Implement strategies which aim to promote a specific product or service, using the developed marketing strategies."
communicate-in-air-traffic-services,communicate in air traffic services,skill/competence,sector-specific,key_2330,Ensure the implementation of an efficient communication exchange in air traffic services (ATS) involving airport movement areas. Follow procedures within the network.
business-intelligence,business intelligence,knowledge,cross-sector,key_2335,The tools used to transform large amounts of raw data into relevant and helpful business information.
manage-digital-libraries,manage digital libraries,skill/competence,sector-specific,key_2344,"Collect, manage and preserve for permanent access digital content and offer to targeted user communities specialised search and retrieval functionality."
solve-technical-problems,solve technical problems,skill/competence,cross-sector,key_2354,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems)."
conditions-for-professional-practice-of-clinical-psychology,conditions for professional practice of clinical psychology,knowledge,sector-specific,key_2360,"The institutional, legal and psychosocial conditions for professional practice of clinical psychology with the aim to apply them in the exercise of the psychological profession in health care."
adobe-photoshop,Adobe Photoshop,knowledge,sector-specific,key_2371,The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
implement-ict-safety-policies,implement ICT safety policies,skill/competence,sector-specific,key_2374,"Apply guidelines related to securing access and use of computers, networks, applications and the computer data being managed."
consult-student-s-support-system,consult student's support system,skill/competence,cross-sector,key_2377,"Communicate with multiple parties, including teachers and the family of the student, to discuss the student's behaviour or academic performance."
create-gambling-games-concepts,create gambling games concepts,skill/competence,sector-specific,key_2383,"Imagine the concepts to be used in creating a gambling, betting and lottery game."
ibm-infosphere-datastage,IBM InfoSphere DataStage,knowledge,sector-specific,key_2388,"The computer program IBM InfoSphere DataStage is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company IBM."
work-ergonomically,work ergonomically,skill/competence,cross-sector,key_2409,Apply ergonomy principles in the organisation of the workplace while manually handling equipment and materials.
characteristics-of-products,characteristics of products,knowledge,sector-specific,key_2413,"The tangible characteristics of a product such as its materials, properties and functions, as well as its different applications, features, use and support requirements."
operate-the-sound-in-the-rehearsal-studio,operate the sound in the rehearsal studio,skill/competence,sector-specific,key_2418,"Create cues for any sound technicians and verify their understanding of them. If no sound crew are available, use others' cues to operate the sound system."
energy-saving-potential-of-automated-shift-systems,energy saving potential of automated shift systems,knowledge,occupation-specific,key_2420,Potential to save energy in automated shift systems through mechanisms such as improved efficiency and better anticipation of upcoming events.
web-analytics,web analytics,knowledge,cross-sector,key_2441,"The characteristics, tools and techniques for measurement, collection, analysis and reporting of web data to get information on the users' behaviour and to improve the performance of a website."
design-firmware,design firmware,skill/competence,cross-sector,key_2453,Design the appropriate firmware to a specific electronic system.
understand-artistic-concepts,understand artistic concepts,skill/competence,sector-specific,key_2455,"Interpret an artist's explanation or demonstration of their artistic concepts, inceptions and processes and strive to share their vision."
set-up-a-multi-track-recording,set up a multi-track recording,skill/competence,sector-specific,key_2476,Make the necessary preparations to record music or other sounds on several tracks.
mix-multi-track-recordings,mix multi-track recordings,skill/competence,sector-specific,key_2484,"Mix recorded sound from several sources using a mix panel, and edit it to obtain the desired mix."
study-sales-levels-of-products,study sales levels of products,skill/competence,cross-sector,key_2508,"Collect and analyse sales levels of products and services in order to use this information for determining the quantities to be produced in the following batches, customer feedback, price trends, and the efficiency of sales methods."
utilise-computer-aided-software-engineering-tools,utilise computer-aided software engineering tools,skill/competence,sector-specific,key_2509,"Use software tools (CASE) to support the development lifecycle, design and implementation of software and applications of high-quality that can be easily maintained."
edmodo,Edmodo,knowledge,sector-specific,key_2516,"The education network Edmodo is an e-learning platform for creating, administrating, arranging, reporting and delivering e-learning training and connecting teachers, students and parents."
defence-standard-procedures,defence standard procedures,knowledge,sector-specific,key_2523,"Methods and procedures typical for defence applications such as the NATO Standardization Agreements or STANAGs Standard definitions of the processes, procedures, terms, and conditions for common military or technical procedures or equipment. Guidelines for capability planners, programme managers and test managers to prescribe the necessary technical standards and profiles to achieve interoperabili"
conduct-impact-evaluation-of-ict-processes-on-business,conduct impact evaluation of ICT processes on business,skill/competence,cross-sector,key_2534,Evaluate the tangible consequences of the implementation of new ICT systems and functions on the current business structure and organisational procedures.
apply-3d-imaging-techniques,apply 3D imaging techniques,skill/competence,sector-specific,key_2561,"Implement a variety of techniques such as digital sculpting, curve modelling and 3D scanning to create, edit, preserve and use 3D images, such as point clouds, 3D vector graphic and 3D surface shapes."
monitor-machine-operations,monitor machine operations,skill/competence,cross-sector,key_2569,Observing machine operations and evaluating product quality thereby ensuring conformity to standards.
manage-alarm-system,manage alarm system,skill/competence,sector-specific,key_2579,Set up and maintain system for detection of intrusions and unauthorised entries into a facility.
follow-work-schedule,follow work schedule,skill/competence,cross-sector,key_2609,Manage the sequence of activities in order to deliver completed work on agreed deadlines by following a work schedule.
use-spreadsheets-software,use spreadsheets software,skill/competence,cross-sector,key_2616,"Use software tools to create and edit tabular data to carry out mathematical calculations, organise data and information, create diagrams based on data and to retrieve them."
java-computer-programming,Java (computer programming),knowledge,sector-specific,key_2630,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Java."
maintain-information-network-hardware,maintain information network hardware,skill/competence,cross-sector,key_2638,"Assess the functionality and identify faults in the infrastructure of an information network, perform routine maintenance tasks which prevent failure and repair tasks in order to ensure permanent availability to system users."
electronic-equipment-standards,electronic equipment standards,knowledge,cross-sector,key_2648,"The national and international quality and safety standards and regulations with regards to the use and manufacture of electronic equipment and its components, such as semiconductors and printed circuit boards."
inspect-quality-of-products,inspect quality of products,skill/competence,cross-sector,key_2667,"Use various techniques to ensure the product quality is respecting the quality standards and specifications. Oversee defects, packaging and sendbacks of products to different production departments."
creatively-use-digital-technologies,creatively use digital technologies,skill/competence,cross-sector,key_2671,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.
plot-lighting-states,plot lighting states,skill/competence,sector-specific,key_2704,Set up and try out lighting states.
create-animated-narratives,create animated narratives,skill/competence,sector-specific,key_2716,"Develop animated narrative sequences and story lines, using computer software and hand drawing techniques."
develop-information-standards,develop information standards,skill/competence,cross-sector,key_2721,"Develop norms or requirements that establish uniform technical criteria, methods, processes and practices in the information management based on professional experience."
use-data-processing-techniques,use data processing techniques,skill/competence,cross-sector,key_2732,"Gather, process and analyse relevant data and information, properly store and update data and represent figures and data using charts and statistical diagrams."
mdx,MDX,knowledge,sector-specific,key_2736,The computer language MDX is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the software company Microsoft.
monitor-student-s-behaviour,monitor student's behaviour,skill/competence,cross-sector,key_2740,Supervise the student's social behaviour to discover anything unusual. Help solve any issues if necessary.
information-architecture,information architecture,knowledge,sector-specific,key_2750,"The methods through which information is generated, structured, stored, maintained, linked, exchanged and used."
use-creative-suite-software,use creative suite software,skill/competence,occupation-specific,key_2754,Use a creative software suite such as ''Adobe'' to aid in graphic designing.
creation-of-clinical-psychological-opinions,creation of clinical psychological opinions,knowledge,sector-specific,key_2767,The development of opinions based on specialised literature and evidence-based documentation in the field of clinical psychology.
principles-of-animation,principles of animation,knowledge,sector-specific,key_2769,"The principles of 2D and 3D animation, such as body motion, kinematics, overshoot, anticipation, squash and stretch."
cloud-security-and-compliance,cloud security and compliance,knowledge,sector-specific,key_2773,"Cloud security and compliance concepts, including shared responsibility model, cloud access management capabilities, and resources for security support."
pricing-strategies,pricing strategies,knowledge,cross-sector,key_2782,"The techniques, theories, and commonly accepted strategies regarding pricing of goods. The relation between pricing strategies and outcomes in the market such as profitability maximisation, deterrence of newcomers, or increase of market share."
run-a-projection,run a projection,skill/competence,sector-specific,key_2791,Operate projection equipment safely and efficiently to project images on a background in an artistic or cultural context.
shiva-digital-game-creation-systems,Shiva (digital game creation systems),knowledge,sector-specific,key_2796,"The cross-platform game engine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
microwave-principles,microwave principles,knowledge,sector-specific,key_2804,"The technologies used in transmission of information or energy via electromagnetic waves between 1000 and 100,000 MHz."
owasp-zap,OWASP ZAP,knowledge,sector-specific,key_2814,"The integrated testing tool OWASP Zed Attack Proxy (ZAP) is a specialised tool which tests web applications security weaknesses, replying on an automated scanner and a REST API."
develop-a-coaching-style,develop a coaching style,skill/competence,cross-sector,key_2832,"Develop a style for coaching individuals or groups that ensures all participants are at ease, and are able to acquire the necessary skills and competences provided in the coaching in a positive and productive manner."
analytical-methods-in-biomedical-sciences,analytical methods in biomedical sciences,knowledge,sector-specific,key_2843,"The various research, mathematical or analytical methods used in biomedical sciences."
solution-deployment,solution deployment,knowledge,sector-specific,key_2855,"The technologies and standards to be used during the installation, deployment and maintenance of software characteristics."
ensure-compliance-with-legal-requirements,ensure compliance with legal requirements,skill/competence,cross-sector,key_2860,"Guarantee compliance with established and applicable standards and legal requirements such as specifications, policies, standards or law for the goal that organisations aspire to achieve in their efforts."
perform-risk-analysis,perform risk analysis,skill/competence,cross-sector,key_2865,Identify and assess factors that may jeopardise the success of a project or threaten the organisation's functioning. Implement procedures to avoid or minimise their impact.
drupal,Drupal,knowledge,sector-specific,key_2868,"The open-source web-based software system written in PHP, used for creating, editing, publishing and archiving blogs, articles, web pages or press releases, which requires a higher level of technical understanding of HTML, CSS and PHP."
resolve-equipment-malfunctions,resolve equipment malfunctions,skill/competence,cross-sector,key_2870,"Identify, report and repair equipment damage and malfunctions. Communicate with field representatives and manufacturers to obtain repair and replacement components."
assess-conservation-needs,assess conservation needs,skill/competence,sector-specific,key_2883,"Assess and list the needs for conservation/restoration, in relation to current use and planned future use."
interpret-current-data,interpret current data,skill/competence,cross-sector,key_2900,"Analyse data gathered from sources such as market data, scientific papers, customer requirements and questionnaires which are current and up-to-date in order to assess development and innovation in areas of expertise."
manage-changes-in-ict-system,manage changes in ICT system,skill/competence,sector-specific,key_2901,"Plan, realise and monitor system changes and upgrades. Maintain earlier system versions. Revert, if necessary, to a safe older system version."
safeguard-artistic-quality-of-performance,safeguard artistic quality of performance,skill/competence,sector-specific,key_2904,"Observe the show, anticipate and react to possible technical problems, ensuring optimal artistic quality."
solve-problems-in-gambling-through-digital-means,solve problems in gambling through digital means,skill/competence,sector-specific,key_2925,"Use ICT resources, tools and competence in order to solve gambling, betting and lottery problems such as game operation problems."
lead-a-team,lead a team,skill/competence,cross-sector,key_2927,"Lead, supervise and motivate a group of people, in order to meet the expected results within a given timeline and with the foreseen resources in mind."
supply-machine-with-appropriate-tools,supply machine with appropriate tools,skill/competence,cross-sector,key_2935,Supply the machine with the necessary tools and items for a particular production purpose. Monitor the stock and replenish when needed.
disseminate-internal-communications,disseminate internal communications,skill/competence,cross-sector,key_2949,Disseminate internal communications using the different communication channels that a company has at its disposal.
create-original-drawings,create original drawings,skill/competence,sector-specific,key_2958,"Create original drawings, based on texts, thorough research and discussion with authors, journalists and specialists."
carry-out-project-activities,carry out project activities,skill/competence,cross-sector,key_2965,Carry out project activities based on the project work plan and schedule. Assist in the development and execution of project plans.
electricity-principles,electricity principles,knowledge,cross-sector,key_2976,"Electricity is created when electric current flows along a conductor. It entails the movement of free electrons between atoms. The more free electrons are present in a material, the better this material conducts. The three main parameters of electricity are the voltage, current (ampère), and resistance (ohm)."
angular,Angular,knowledge,sector-specific,key_2981,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Angular."
compose-digital-game-story,compose digital game story,skill/competence,occupation-specific,key_3008,Create a digital game story by writing out a detailed plot and storyboard with descriptions and gameplay objectives.
engineering-principles,engineering principles,knowledge,cross-sector,key_3009,"The engineering elements like functionality, replicability, and costs in relation to the design and how they are applied in the completion of engineering projects."
interact-professionally-in-research-and-professional-environments,interact professionally in research and professional environments,skill/competence,cross-sector,key_3014,"Show consideration to others as well as collegiality. Listen, give and receive feedback and respond perceptively to others, also involving staff supervision and leadership in a professional setting."
operate-lighting-equipment,operate lighting equipment,skill/competence,sector-specific,key_3016,"Operate lighting equipment used during production of movies, commercials, animations and other visual productions to create an atmosphere with light."
set-up-sound-equipment,set up sound equipment,skill/competence,sector-specific,key_3024,Set up equipment to record sound. Test acoustics and make adjustments.
keep-up-with-the-latest-information-systems-solutions,keep up with the latest information systems solutions,skill/competence,sector-specific,key_3025,"Gather the latest information on existing information systems solutions which integrate software and hardware, as well as network components."
prepare-lesson-content,prepare lesson content,skill/competence,cross-sector,key_3036,"Prepare content to be taught in class in accordance with curriculum objectives by drafting exercises, researching up-to-date examples etc."
design-computer-network,design computer network,skill/competence,sector-specific,key_3058,"Develop and plan ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data and assess their capacity requirements."
embedded-systems,embedded systems,knowledge,sector-specific,key_3066,"The computer systems and components with a specialised and autonomous function within a larger system or machine such as embedded systems software architectures, embedded peripherals, design principles and development tools."
engrade,Engrade,knowledge,sector-specific,key_3071,"The computer program Engrade is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
manage-budgets,manage budgets,skill/competence,cross-sector,key_3081,"Plan, monitor and report on the budget."
computer-programming,computer programming,knowledge,cross-sector,key_3083,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages."
broadcast-equipment,broadcast equipment,knowledge,sector-specific,key_3088,"The use and operation of broadcast equipment such as broadcast consoles, routers, microphones, dual compressors, and other machinery."
product-life-cycle,product life-cycle,knowledge,sector-specific,key_3090,The management of the life-cycle of a product from the development stages to the market entry and market removal.
create-project-specifications,create project specifications,skill/competence,cross-sector,key_3095,"Define the workplan, duration, deliverables, resources and procedures a project has to follow to achieve its goals. Describe project goals, outcomes, results and implementation scenarios."
answer-requests-for-quotation,answer requests for quotation,skill/competence,cross-sector,key_3100,Make up prices and documents for the products that customers may purchase.
maintain-relationship-with-customers,maintain relationship with customers,skill/competence,sector-specific,key_3114,"Build a lasting and meaningful relationship with customers in order to ensure satisfaction and fidelity by providing accurate and friendly advice and support, by delivering quality products and services and by supplying after-sales information and service."
manage-project-information,manage project information,skill/competence,sector-specific,key_3129,Provide accurate and relevant information to all the parties involved in a project on time.
facilitate-teamwork-between-students,facilitate teamwork between students,skill/competence,sector-specific,key_3130,"Encourage students to cooperate with others in their learning by working in teams, for example through group activities."
set-quality-assurance-objectives,set quality assurance objectives,skill/competence,cross-sector,key_3135,"Define quality assurance targets and procedures and see to their maintenance and continued improvement by reviewing targets, protocols, supplies, processes, equipment and technologies for quality standards."
motivate-employees,motivate employees,skill/competence,cross-sector,key_3136,"Communicate with employees in order to ensure that their personal ambitions are in line with the business goals, and that they work to meet them."
create-storyboards,create storyboards,skill/competence,sector-specific,key_3161,Apply story development and plot lines and edit animations to create storyboards that render the flow of the animation. Map out key scenes and develop characters.
use-presentation-software,use presentation software,skill/competence,cross-sector,key_3162,"Use software tools to create digital presentations which combine various elements, such as graphs, images, text and other multimedia."
oracle-warehouse-builder,Oracle Warehouse Builder,knowledge,sector-specific,key_3180,"The computer program Oracle Warehouse Builder is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Oracle."
monitor-developments-in-field-of-expertise,monitor developments in field of expertise,skill/competence,cross-sector,key_3185,"Keep up with new research, regulations, and other significant changes, labour market related or otherwise, occurring within the field of specialisation."
interfacing-techniques,interfacing techniques,knowledge,sector-specific,key_3187,The techniques that relate to interfaces between models and components.
consult-with-production-director,consult with production director,skill/competence,sector-specific,key_3206,"Consult with the director, producer and clients throughout the production and post-production process."
software-architecture-models,software architecture models,knowledge,sector-specific,key_3217,"The set of structures and models needed to understand or describe the software system, including the software elements, the relations between them and the properties of both elements and relations."
define-technology-strategy,define technology strategy,skill/competence,sector-specific,key_3236,"Create an overall plan of objectives, practices, principles and tactics related to the use of technologies within an organisation and describe the means to reach the objectives."
software-frameworks,software frameworks,knowledge,sector-specific,key_3244,The software development environments or tools used to improve the efficiency of new software development by providing specific features that support and guide the development.
set-up-portable-field-transmission-equipment,set up portable field transmission equipment,skill/competence,occupation-specific,key_3260,Set up and operate portable transmission equipment when broadcasting takes place outside of the studio.
decentralized-application-frameworks,decentralized application frameworks,knowledge,sector-specific,key_3262,"The different software frameworks, and their characteristics, advantages and disadvantages, that allow the development of decentralized applications on blockchain infrastructure. Examples are truffle, embark, epirus, openzeppelin, etc."
debug-software,debug software,skill/competence,sector-specific,key_3264,"Repair computer code by analysing testing results, locating the defects causing the software to output an incorrect or unexpected result and remove these faults."
provide-education-management-support,provide education management support,skill/competence,sector-specific,key_3275,Support the management of an education institution by directly assisting in the managerial duties or by providing information and guidance from your area of expertise to simplify the managerial tasks.
audio-post-production,audio post-production,knowledge,sector-specific,key_3282,The mixing process after the music recording phase where each song is edited individually into a finished product.
motion-capture,motion capture,knowledge,sector-specific,key_3287,The process and techniques for capturing the movement of human actors in order to create and animate digital characters that look and move as humanly as possible.
use-concurrent-programming,use concurrent programming,skill/competence,sector-specific,key_3297,"Utilise specialised ICT tools to create programs that can execute concurrent operations by splitting programs into parallel processes and, once computed, combining the outcomes together."
model-based-system-engineering,model based system engineering,knowledge,cross-sector,key_3311,"Model-based systems engineering (MBSE) is a methodology for systems engineering that uses visual modelling as the primary means of communicating information. It is focused on creating and exploiting domain models as the primary means of information exchange between engineers and engineering technicians, rather than on document-based information exchange. Therefore, it eliminates the communication "
data-mining,data mining,knowledge,sector-specific,key_3315,"The methods of artificial intelligence, machine learning, statistics and databases used to extract content from a dataset."
follow-a-brief,follow a brief,skill/competence,cross-sector,key_3318,"Interpret and meet requirements and expectations, as discussed and agreed upon with the customers."
cognitive-psychology,cognitive psychology,knowledge,cross-sector,key_3327,"The human mental processes such as attention, memory, language use, perception, problem solving, creativity and thinking."
provide-documentation,provide documentation,skill/competence,cross-sector,key_3336,Prepare and distribute documentation to ensure all people involved in the production receive relevant and up-to-date information.
curriculum-standards,curriculum standards,knowledge,cross-sector,key_3340,The governmental policies concerning educational curricula and the approved curricula from specific educational institutions.
