skill_id,skill_name,skill_type,reuse_level,description
create-moving-images,create moving images,skill/competence,sector-specific,Create and develop two-dimensional and three-dimensional images in motion and animations.
create-new-concepts,create new concepts,skill/competence,cross-sector,Come up with new concepts.
create-original-drawings,create original drawings,skill/competence,sector-specific,"Create original drawings, based on texts, thorough research and discussion with authors, journalists and specialists."
create-patterns-for-garments,create patterns for garments,skill/competence,sector-specific,"Create patterns for garments using pattern making softwares or by hand from sketches provided by fashion designers or product requirements. Create patterns for different sizes, styles, and components of the garments."
create-pen-and-paper-images,create pen-and-paper images,skill/competence,sector-specific,"Draw pen-and-paper images and prepare them to be edited, scanned, coloured, textured and digitally animated."
create-project-specifications,create project specifications,skill/competence,cross-sector,"Define the workplan, duration, deliverables, resources and procedures a project has to follow to achieve its goals. Describe project goals, outcomes, results and implementation scenarios."
create-prototype-of-user-experience-solutions,create prototype of user experience solutions,skill/competence,sector-specific,"Design and prepare mock-ups, prototypes and flows in order to test User Experience (UX) solutions or to collect feedback from users, customers, partners or stakeholders."
create-puppets,create puppets,skill/competence,sector-specific,"Construct hand, string, rod and shadow puppets from materials such as wood, papier maché, Styrofoam, wires, metal and rubber, using hand and machine tools."
create-scorm-packages,create SCORM packages,skill/competence,sector-specific,Develop educational packages for e-learning platforms using the Sharable Content Object Reference Model (SCORM) standard.
create-semantic-trees,create semantic trees,skill/competence,sector-specific,Create coherent lists and hierarchies of concepts and terms to ensure consistent indexing in knowledge organisation systems.
create-sketches,create sketches,skill/competence,sector-specific,Draw sketches to prepare for a drawing or as a standalone artistic technique.
create-software-design,create software design,skill/competence,sector-specific,Transpose a series of requirements into a clear and organised software design.
create-solutions-to-problems,create solutions to problems,skill/competence,cross-sector,"Solve problems which arise in planning, prioritising, organising, directing/facilitating action and evaluating performance. Use systematic processes of collecting, analysing, and synthesising information to evaluate current practice and generate new understandings about practice."
create-special-effects,create special effects,skill/competence,sector-specific,"Create special visual effects as required by the script, mixing chemicals and fabricating specific parts out of a wide variety of materials."
create-storyboards,create storyboards,skill/competence,sector-specific,Apply story development and plot lines and edit animations to create storyboards that render the flow of the animation. Map out key scenes and develop characters.
create-technical-plans,create technical plans,skill/competence,cross-sector,"Create detailed technical plans of machinery, equipment, tools and other products."
create-training-materials,create training materials,skill/competence,cross-sector,Develop and compile training items and resources according to didactical methods and training needs and using specific types of media.
create-website-wireframe,create website wireframe,skill/competence,sector-specific,"Develop an image or set of images that display the functional elements of a website or page, typically used for planning a website's functionality and structure."
creation-of-clinical-psychological-opinions,creation of clinical psychological opinions,knowledge,sector-specific,The development of opinions based on specialised literature and evidence-based documentation in the field of clinical psychology.
creatively-use-digital-technologies,creatively use digital technologies,skill/competence,cross-sector,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.
crowdsourcing-strategy,crowdsourcing strategy,knowledge,sector-specific,"The high level planning for managing and optimising business processes, ideas or content by gathering contributions from a big community of people, including on-line groups."
cryengine,CryEngine,knowledge,sector-specific,"The game engine CryEngine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
css,CSS,knowledge,sector-specific,"The computer language CSS is a style sheet language that conveys the presentation of structured documents. These documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout."
cue-a-performance,cue a performance,skill/competence,sector-specific,Plan the technical actions and interventions during an artistic performance. Determine when actors go on and off stage. Make sure these cues are followed to ensure a smooth running of the performance.
curriculum-objectives,curriculum objectives,knowledge,cross-sector,The goals identified in curricula and defined learning outcomes.
curriculum-standards,curriculum standards,knowledge,cross-sector,The governmental policies concerning educational curricula and the approved curricula from specific educational institutions.
customer-segmentation,customer segmentation,knowledge,cross-sector,The process whereby a target market is divided into specific sets of consumers for further market analysis.
customise-software-for-drive-system,customise software for drive system,skill/competence,cross-sector,Adapt and customise software to the specific machine or application.
cyber-attack-counter-measures,cyber attack counter-measures,knowledge,sector-specific,"The strategies, techniques and tools that can be used to detect and avert malicious attacks against organisations' information systems, infrastructures or networks. Examples are secure hash algorithm (SHA) and message digest algorithm (MD5) for securing network communications, intrusion prevention systems (IPS), public-key infrastructure (PKI) for encryption and digital signatures in applications."
cyber-security,cyber security,knowledge,sector-specific,"The methods that protect ICT systems, networks, computers, devices, services, digital information and people against illegal or unauthorised use."
data-analytics,data analytics,knowledge,cross-sector,The science of analysing and making decisions based on raw data collected from various sources. Includes knowledge of techniques using algorithms that derive insights or trends from that data to support decision-making processes.
data-extraction-transformation-and-loading-tools,"data extraction, transformation and loading tools",knowledge,cross-sector,"The tools for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure."
data-mining,data mining,knowledge,sector-specific,"The methods of artificial intelligence, machine learning, statistics and databases used to extract content from a dataset."
data-models,data models,knowledge,sector-specific,"The techniques and existing systems used for structuring data elements and showing relationships between them, as well as methods for interpreting the data structures and relationships."
data-protection,data protection,knowledge,sector-specific,"The principles, ethical issues, regulations and protocols of data protection."
data-quality-assessment,data quality assessment,knowledge,sector-specific,"The process of revealing data issues using ​quality indicators, measures and metrics in order to plan data cleansing and data enrichment strategies according to data quality criteria."
data-storage,data storage,knowledge,sector-specific,"The physical and technical concepts of how digital data storage is organised in specific schemes both locally, such as hard-drives and random-access memories (RAM) and remotely, via network, internet or cloud."
data-warehouse,data warehouse,knowledge,occupation-specific,The data storage system that analyses and reports on data such as a data mart.
database,database,knowledge,cross-sector,"The classification of databases, that includes their purpose, characteristics, terminology, models and use such as XML databases, document-oriented databases and full text databases."
database-development-tools,database development tools,knowledge,sector-specific,"The methodologies and tools used for creating logical and physical structure of databases, such as logical data structures, diagrams, modelling methodologies and entity-relationships."
database-management-systems,database management systems,knowledge,sector-specific,"The tools for creating, updating and managing databases, such as Oracle, MySQL and Microsoft SQL Server."
database-quality-standards,database quality standards,knowledge,sector-specific,"Techniques and methods of estimation and evaluation of system quality and overall database quality, as well as the set quality standards and regulations."
db2,DB2,knowledge,sector-specific,"The computer program IBM DB2 is a tool for creating, updating and managing databases, developed by the software company IBM."
de-rig-electronic-equipment,de-rig electronic equipment,skill/competence,cross-sector,Remove and store various types of electronic equipment safely after use.
deal-with-pressure-from-unexpected-circumstances,deal with pressure from unexpected circumstances,skill/competence,sector-specific,Strive to achieve objectives despite the pressures arising from unexpected factors outside of your control.
debug-software,debug software,skill/competence,sector-specific,"Repair computer code by analysing testing results, locating the defects causing the software to output an incorrect or unexpected result and remove these faults."
decentralized-application-frameworks,decentralized application frameworks,knowledge,sector-specific,"The different software frameworks, and their characteristics, advantages and disadvantages, that allow the development of decentralized applications on blockchain infrastructure. Examples are truffle, embark, epirus, openzeppelin, etc."
decision-support-systems,decision support systems,knowledge,sector-specific,The ICT systems that can be used to support business or organisational decision making.
deep-learning,deep learning,knowledge,cross-sector,"The principles, methods and algorithms of deep learning, a subfield of artificial intelligence and machine learning. Common neural networks like perceptrons, feed-forward, backpropagation, and convolutional and recurrent neural networks."
defence-standard-procedures,defence standard procedures,knowledge,sector-specific,"Methods and procedures typical for defence applications such as the NATO Standardization Agreements or STANAGs Standard definitions of the processes, procedures, terms, and conditions for common military or technical procedures or equipment. Guidelines for capability planners, programme managers and test managers to prescribe the necessary technical standards and profiles to achieve interoperabili"
define-artistic-approach,define artistic approach,skill/competence,sector-specific,"Define your own artistic approach by analysing your previous work and your expertise, identifying the components of your creative signature, and starting from these explorations to describe your artistic vision."
define-data-quality-criteria,define data quality criteria,skill/competence,sector-specific,"Specify the criteria by which data quality is measured for business purposes, such as inconsistencies, incompleteness, usability for purpose and accuracy."
define-database-physical-structure,define database physical structure,skill/competence,sector-specific,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
define-firewall-rules,define firewall rules,skill/competence,sector-specific,Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.
